Time (s), Cell Name, Value
64.7, C013, 56.65144
68.25, C013, 65.51092
74.59999999999999, C013, 689.5684
81.90000000000001, C013, 111.473
84.84999999999999, C013, 153.8762
92.3, C013, 30.76581
92.40000000000001, C013, 49.2908
112.4, C013, 184.4117
114.45, C013, 34.79262
116.3, C013, 421.7656
128.5, C013, 82.08698
129.55, C013, 127.667
131.35, C013, 39.99589
144.8, C013, 105.0583
154.7, C013, 491.0145
164.2, C013, 102.0589
169.35, C013, 44.23169
171.3, C013, 100.7735
172.65, C013, 262.4014
190.25, C013, 62.4717
193.25, C013, 60.81697
197.65, C013, 92.358
210.45, C013, 53.3784
218.4, C013, 29.64503
251.2, C013, 216.0463
255, C013, 33.57623
258.149999, C013, 46.66879
263.45, C013, 69.82368
277.1, C013, 137.1237
283.25, C013, 146.163
286.2, C013, 40.53432
291.25, C013, 470.412
312.4, C013, 49.0487
314.45, C013, 465.3409
316.25, C013, 51.35805
